time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
35410,-0.048312,0.001464,1.032120,0.560000,-0.770000,0.980000
35532,-0.048312,0.001952,1.044808,0.420000,-0.770000,0.910000
35649,-0.048312,0.003416,1.041392,0.490000,-0.770000,0.770000
35772,-0.048312,-0.001464,1.036024,1.120000,-0.910000,0.770000
35901,-0.060024,0.035136,1.039440,4.060000,-0.350000,4.060000
36014,-0.050752,0.003416,1.041392,0.350000,-0.840000,1.820000
36136,-0.049288,0.003416,1.038952,-0.560000,-0.980000,1.190000
36277,-0.050264,0.007320,1.037488,1.050000,-0.770000,1.330000
36396,-0.049288,0.009760,1.038952,0.980000,-0.770000,1.190000
36513,-0.045384,0.009272,1.043344,1.260000,-0.700000,0.910000
36628,-0.048800,0.021960,1.032120,15.680000,-0.700000,1.330000
36760,-0.048800,0.061976,1.034560,25.969999,-1.050000,1.050000
36894,-0.046360,0.125416,1.033096,32.130001,-1.400000,1.190000
37017,-0.049776,0.195200,1.011624,22.190001,-1.260000,1.400000
37145,-0.045384,0.280600,0.993080,63.490002,-0.560000,2.380000
37298,-0.045384,0.362096,0.962824,18.969999,-0.980000,1.750000
37422,-0.055144,0.406504,0.930128,22.400000,-0.280000,3.290000
37547,-0.046360,0.426512,0.917928,17.850000,-0.140000,2.520000
37667,-0.044408,0.460184,0.919392,17.290001,-0.560000,1.470000
37789,-0.042944,0.500200,0.885232,14.070000,-0.910000,1.260000
37921,-0.046848,0.520696,0.885720,16.730000,-0.700000,1.400000
38052,-0.040992,0.551440,0.865224,18.690001,-0.630000,1.400000
38174,-0.041968,0.580232,0.833992,6.510000,-1.120000,0.980000
38324,-0.041480,0.598288,0.824232,14.210000,-1.120000,1.330000
38444,-0.040504,0.620248,0.811056,15.050000,-1.190000,1.260000
38572,-0.041480,0.649040,0.775432,16.520000,-0.980000,1.330000
38697,-0.040992,0.665632,0.767624,17.219999,-0.980000,1.330000
38812,-0.038552,0.695400,0.734440,13.300000,-0.700000,1.260000
38945,-0.038552,0.702232,0.735416,18.059999,-0.840000,1.330000
39066,-0.036112,0.722240,0.711504,15.260000,-0.700000,1.400000
39193,-0.037088,0.757376,0.659288,29.889999,-0.490000,1.820000
39342,-0.034648,0.789096,0.630496,24.290001,-0.700000,1.540000
39469,-0.031720,0.842288,0.547048,29.540001,-0.140000,1.890000
39596,-0.032208,0.851560,0.527040,11.270000,-0.770000,1.190000
39715,-0.032696,0.861320,0.511912,21.910000,-0.490000,1.610000
39849,-0.033672,0.882304,0.465552,7.000000,-0.840000,1.050000
